Alter;Groesse;Geschlecht;AlterV;AlterM;AnzSchuhe;NoteMathe;MatheZufr
 19;160;w; 55; 48;20;2,0;sehr zufrieden
 20;179;mann; 50; 49;3;1,7;sehr zufrieden
 19;163;Frau; 51; 49;25;1,7;geht so
 20;176;Frau; 50; 51;30;3,7;unzufrieden
 22;180;Mann; 57; 49;7;5,0;unzufrieden
 19;160;Frau; 50; 47;10;4,0;unzufrieden
 28;175;Mann; 56; 51;6;4,0;unzufrieden
 20;172;Frau; 52; 48;10;3,0;geht so
 23;170;Frau; 48; 42;20;3,0;geht so
 26;160;frau; 52; 52;12;NA;NA
 21;168;Frau; 59; 58;25;4,0;unzufrieden
 21;182;Mann; 54; 48;18;2,0;geht so
 20;170;Frau; 51; 49;43;3,7;zufrieden
 19;174;Frau; 42; 44;90;4,0;unzufrieden
 21;190;m; 56; 49;20;NA;NA
 19;171;Frau; 52; 52;15;2,0;unzufrieden
 23;185;Mann; 56; 49;7;1,3;sehr zufrieden
 23;183;mann; 52; 51;9;NA;NA
 32;172;Mann; 55; 55;10;NA;NA
 22;195;mann; 52; 50;18;3,0;unzufrieden
 22;163;Frau; 57; 54;40;2,3;unzufrieden
 19;170;frau; 63; 54;30;3,3;sehr zufrieden
 20;165;frau; 63; 58;14;2,7;unzufrieden
 21;161;Frau; 56; 54;15;NA;NA
 23;181;m; 56; 56;23;5,0;geht so
 18;183;Mann; 57; 50;10;2,3;zufrieden
 28;171;Frau; 58; 51;3;5,0;unzufrieden
 25;191;Mann; 49; 51;10;3,7;geht so
 21;160;frau; 57; 49;20;NA;NA
 21;170;Frau; 52; 53;40;3,0;zufrieden
 28;173;Frau; 55; 58;15;5,0;unzufrieden
 32;165;Frau; 76; 64;7;NA;NA
 22;190;Mann; 57; 59;9;3,3;geht so
 24;187;Mann; 58; 52;3;NA;NA
 22;182;Mann; 56; 55;9;NA;NA
 21;175;Mann; 48; 51;10;2,0;sehr zufrieden
 18;162;frau; 48; 47;10;4,0;geht so
 21;158;Frau; 52; 48;40;NA;NA
 24;158;w; 49; 49;12;NA;NA
 19;167;Frau; 56; 48;15;3,0;geht so
 26;168;frau; 56; 54;20;5,0;unzufrieden
 19;160;frau; 53; 62;15;5,0;unzufrieden
 27;177;Frau; 55; 55;10;NA;NA
 18;166;frau; 54; 57;20;NA;NA
 20;175;mann; 57; 55;5;2,7;zufrieden
 22;172;Frau; 50; 50;20;NA;NA
 19;162;w; 56; 52;25;2,3;zufrieden
 20;170;Mann; 54; 54;10;4,0;zufrieden
 20;164;Frau; 64; 54;20;3,0;zufrieden
 20;173;Frau; 47; 47;30;5,0;unzufrieden
 18;178;frau; 43; 37;15;2,0;zufrieden
 27;180;mann; 68; 63;24;3,7;unzufrieden
 24;191;Mann; 56; 51;28;5,0;unzufrieden
 19;167;Frau; 51; 50;25;5,0;unzufrieden
 20;167;Frau; 51; 48;20;3,0;zufrieden
 18;186;Mann; 55; 52;15;2,3;sehr zufrieden
 23;172;mann; 60; 59;7;NA;NA
 19;185;Mann; 53; 53;7;2,0;zufrieden
 20;179;Mann; 58; 55;8;3,0;geht so
 20;164;Frau; 49; 49;30;5,0;unzufrieden
 19;166;Frau; 51; 50;25;1,0;sehr zufrieden
 27;178;frau; 59; 58;16;NA;NA
 20;167;Frau; 55; 51;5;3,0;zufrieden
 19;185;w; 59; 48;20;4,0;unzufrieden
 20;183;Mann; 64; 53;7;5,0;unzufrieden
 20;179;Mann; 52; 48;7;1,7;zufrieden
 20;167;w; 50; 48;20;2,0;sehr zufrieden
 22;180;mann; 59; 56;8;3,0;unzufrieden
 20;188;Mann; 53; 49;20;NA;NA
 20;165;w; 41; 41;7;5,0;unzufrieden
 21;175;Frau; 58; 54;50;3,7;geht so
 20;178;Mann; 44; 43;5;NA;NA
 22;190;Mann; 49; 52;6;4,0;geht so
